,0
0,A Bad Beginning Makes A Bad Ending
1,A Bad Corn Promise Is Better Than A Good Lawsuit
2,A Bad Workman Quarrels With His Tools
3,A Bargain Is A Bargain
4,A Beggar Can Never Be Bankrupt
5,A Bird In The Hand Is Worth Two In The Bush
6,A Bird May Be Known By Its Song
7,A Black Hen Lays A White Egg
8,A Blind Leader Of The Blind
9,A Blind Man Would Be Glad To See
10,"A Broken Friendship May Be Soldered, But Will Never Be Sound"
11,A Burden Of One's Own Choice Is Not Felt
12,A Burnt Child Dreads The Fire
13,A Cat In Gloves Catches No Mice
14,A City That Parleys Is Half Gotten
15,A Civil Denial Is Better Than A Rude Grant
16,A Clean Fast Is Better Than A Dirty Breakfast
17,A Clean Hand Wants No Washing
18,A Clear Conscience Laughs At False Accusations
19,A Close Mouth Catches No Flies
20,A Cock Is Valiant On His Own Dunghill
21,A Cracked Bell Can Never Sound Well
22,A Creaking Door Hangs Long On Its Hinges
23,A Curst Cow Has Short Horns
24,A Danger Foreseen Is Half Avoided
25,A Drop In The Bucket
26,A Drowning Man Will Catch At A Straw
27,A Fair Face May Hide A Foul Heart
28,A Fault Confessed Is Half Redressed
29,A Fly In The Ointment
30,A Fool Always Rushes To The Fore
31,A Fool And His Money Are Soon Parted
32,A Fool At Forty Is A Fool Indeed
33,A Fool May Ask More Questions In An Hour Than A Wise Man Can Answer In Seven Years
34,A Fool May Throw A Stone Into A Well Which A Hundred Wise Men Cannot Pull Out
35,A Fool's Tongue Runs Before His Wit
36,A Forced Kindness Deserves No Thanks
37,A Foul Morn May Turn To A Fair Day
38,A Fox Is Not Taken Twice In The Same Snare
39,A Friend In Need Is A Friend Indeed
40,A Friend Is Never Known Till Needed
41,A Friend To All Is A Friend To None
42,A Friend's Frown Is Better Than A Foe's Smile
43,A Good Anvil Does Not Fear The Hammer
44,A Good Beginning Is Half The Battle
45,A Good Beginning Makes A Good Ending
46,A Good Deed Is Never Lost
47,A Good Dog Deserves A Good Bone
48,A Good Example Is The Best Sermon
49,A Good Face Is A Letter Of Recommendation
50,A Good Jack Makes A Good Jill
51,A Good Marksman May Miss
52,A Good Name Is Better Than Riches
53,A Good Name Is Sooner Lost Than Won
54,A Good Name Keeps Its Lustre In The Dark
55,A Good Wife Makes A Good Husband
56,A Great Dowry Is A Bed Full Of Brambles
57,A Great Fortune Is A Great Slavery
58,A Great Ship Asks Deep Waters
59,A Guilty Conscience Needs No Accuser
60,A Hard Nut To Crack
61,A Heavy Purse Makes A Light Heart
62,A Hedge Between Keeps Friendship Green
63,"A Honey Tongue, A Heart Of Gall"
64,A Hungry Belly Has No Ears
65,A Hungry Man Is An Angry Man
66,A Jack Of All Trades Is Master Of None
67,A Joke Never Gains An Enemy But Often Loses A Friend
68,A Lawyer Never Goes To Law Himself
69,A Lazy Sheep Thinks Its Wool Heavy
70,A Liar Is Not Believed When He Speaks The Truth
71,A Lie Begets A Lie
72,A Light Purse Is A Heavy Curse
73,A Little Body Often Harbours A Great Soul
74,A Little Fire Is Quickly Trodden Out
75,A Man Can Die But Once
76,A Man Can Do No More Than He Can
77,A Man Is Known By The Company He Keeps
78,A Man Of Words And Not Of Deeds Is Like A Garden Full Of Weeds
79,A Miserly Father Makes A Prodigal Son
80,A Miss Is As Good As A Mile
81,A New Broom Sweeps Clean
82,A Nod From A Lord Is A Breakfast For A Fool
83,A Penny Saved Is A Penny Gained
84,A Penny Soul Never Came To Twopence
85,A Quiet Conscience Sleeps In Thunder
86,A Rolling Stone Gathers No Moss
87,A Round Peg In A Square Hole
88,A Shy Cat Makes A Proud Mouse
89,A Silent Fool Is Counted Wise
90,A Small Leak Will Sink A Great Ship
91,A Soft Answer Turns Away Wrath
92,A Sound Mind In A Sound Body
93,A Stitch In Time Saves Nine
94,A Storm In A Teacup
95,A Tattler Is Worse Than A Thief
96,A Thief Knows A Thief As A Wolf Knows A Wolf
97,A Thief Passes For A Gentleman When Stealing Has Made Him Rich
98,A Threatened Blow Is Seldom Given
99,A Tree Is Known By Its Fruit
100,A Wager Is A Fool's Argument
101,A Watched Pot Never Boils
102,"A Wise Man Changes His Mind, A Fool Never Will"
103,A Wolf In Sheep's Clothing
104,A Wonder Lasts But Nine Days
105,A Word Is Enough To The Wise
106,A Word Spoken Is Past Recalling
107,Actions Speak Louder Than Words
108,Adversity Is A Great Schoolmaster
109,Adversity Makes Strange Bedfellows
110,After A Storm Comes A Calm
111,After Dinner Comes The Reckoning
112,"After Dinner Sit (Sleep) A While, After Supper Walk A Mile"
113,After Rain Comes Fair Weather
114,After Us The Deluge
115,"Agues Come On Horseback, But Go Away On Foot"
116,"All Are Good Lasses, But Whence Come The Bad Wives? "
117,All Are Not Friends That Speak Us Fair
118,All Are Not Hunters That Blow The Horn
119,All Are Not Merry That Dance Lightly
120,All Are Not Saints That Go To Church
121,All Asses Wag Their Ears
122,All Bread Is Not Baked In One Oven
123,All Cats Are Grey In The Dark (In The Night)
124,"All Covet, All Lose"
125,All Doors Open To Courtesy
126,All Is Fish That Comes To His Net
127,All Is Not Lost That Is In Peril
128,All Is Well That Ends Well
129,All Lay Load On The Willing Horse
130,All Men Can't Be First
131,All Men Can't Be Masters
132,All Promises Are Either Broken Or Kept
133,All Roads Lead To Rome 
134,All Sugar And Honey
135,All That Glitters Is Not Gold
136,All Things Are Difficult Before They Are Easy
137,All Truths Are Not To Be Told
138,All Work And No Play Makes Jack A Dull Boy
139,"""Almost"" Never Killed A Fly (Was Never Hanged)"
140,Among The Blind The One-Eyed Man Is King
141,An Apple A Day Keeps The Doctor Away
142,An Ass In A Lion's Skin
143,"An Ass Is But An Ass, Though Laden With Gold"
144,An Ass Loaded With Gold Climbs To The Top Of The Castle
145,An Empty Hand Is No Lure For A Hawk
146,An Empty Sack Cannot Stand Upright
147,An Empty Vessel Gives A Greater Sound Than A Full Barrel
148,An Evil Chance Seldom Comes Alone
149,"An Honest Tale Speeds Best, Being Plainly Told"
150,An Hour In The Morning Is Worth Two In The Evening
151,An Idle Brain Is The Devil's Workshop
152,"An Ill Wound Is Cured, Not An Ill Name"
153,An Oak Is Not Felled At One Stroke
154,An Old Dog Barks Not In Vain
155,An Open Door May Tempt A Saint
156,An Ounce Of Discretion Is Worth A Pound Of Learning
157,"An Ox Is Taken By The Horns, And A Man By The Tongue"
158,An Unfortunate Man Would Be Drowned In A Teacup
159,Anger And Haste Hinder Good Counsel
160,Any Port In A Storm
161,Appearances Are Deceitful
162,Appetite Comes With Eating
163,As Drunk As A Lord
164,As Innocent As A Babe Unborn
165,As Like As An Apple To An Oyster
166,As Like As Two Peas
167,As Old As The Hills
168,As Plain As The Nose On A Man's Face
169,As Plain As Two And Two Make Four
170,As Snug As A Bug In A Rug 
171,As Sure As Eggs Is Eggs
172,"As The Call, So The Echo"
173,"As The Fool Thinks, So The Bell Clinks"
174,"As The Old Cock Crows, So Does The Young"
175,"As The Tree Falls, So Shall It Lie"
176,"As The Tree, So The Fruit"
177,As Welcome As Flowers In May
178,As Welcome As Water In One's Shoes
179,As Well Be Hanged For A Sheep As For A Lamb
180,"As You Brew, So Must You Drink"
181,"As You Make Your Bed, So Must You Lie On It"
182,"As You Sow, So Shall You Reap"
183,Ask No Questions And You Will Be Told No Lies
184,At The Ends Of The Earth
185,Bacchus Has Drowned More Men Than Neptune 
186,Bad News Has Wings
187,Barking Does Seldom Bite
188,Be Slow To Promise And Quick To Perform
189,"Be Swift To Hear, Slow To Speak"
190,Beauty Is But Skin-Deep
191,Beauty Lies In Lover's Eyes
192,Before One Can Say Jack Robinson
193,Before You Make A Friend Eat A Bushel Of Salt With Him
194,Beggars Cannot Be Choosers
195,Believe Not All That You See Nor Half What You Hear
196,Best Defence Is Offence
197,Better A Glorious Death Than A Shameful Life
198,Better A Lean Peace Than A Fat Victory
199,"Better A Little Fire To Warm Us, Than A Great One To Burn Us"
200,Better An Egg Today Than A Hen Tomorrow
201,Better An Open Enemy Than A False Friend
202,Better Be Alone Than In Bad Company
203,Better Be Born Lucky Than Rich
204,Better Be Envied Than Pitied
205,Better Be The Head Of A Dog Than The Tail Of A Lion
206,Better Deny At Once Than Promise Long
207,Better Die Standing Than Live Kneeling
208,Better Early Than Late
209,Better Give A Shilling Than Lend A Half-Crown
210,Better Go To Bed Supperless Than Rise In Debt
211,Better Late Than Never
212,Better Lose A Jest Than A Friend
213,Better One-Eyed Than Stone-Blind
214,Better The Devil You Know Than The Devil You Don't
215,Better The Foot Slip Than The Tongue
216,Better To Do Well Than To Say Well
217,"Better To Reign In Hell, Than Serve In Heaven"
218,Better Unborn Than Untaught
219,Better Untaught Than Ill-Taught
220,Between The Cup And The Lip A Morsel May Slip
221,Between The Devil And The Deep (Blue) Sea
222,Between Two Evils 'Tis Not Worth Choosing
223,Between Two Stools One Goes (Falls) To The Ground
224,Between The Upper And Nether Millstone
225,Betwixt And Between
226,Beware Of A Silent Dog And Still Water
227,Bind The Sack Before It Be Full
228,Birds Of A Feather Flock Together
229,Blind Men Can Judge No Colours
230,Blood Is Thicker Than Water
231,Borrowed Garments Never Fit Well
232,Brevity Is The Soul Of Wit
233,Burn Not Your House To Rid It Of The Mouse
234,Business Before Pleasure
235,By Doing Nothing We Learn To Do Ill
236,By Hook Or By Crook
237,By The Street Of 'By-And-Bye' One Arrives At The House Of 'Never'
238,Calamity Is Man's True Touchstone
239,Care Killed The Cat
240,Catch The Bear Before You Sell His Skin
241,Caution Is The Parent Of Safety
242,Charity Begins At Home
243,Cheapest Is The Dearest
244,Cheek Brings Success
245,Children And Fools Must Not Play With Edged Tools
246,Children Are Poor Men's Riches
247,Choose An Author As You Choose A Friend
248,"Christmas Comes But Once A Year, (But When It Comes It Brings Good Cheer)"
249,Circumstances Alter Cases
250,"Claw Me, And I Will Claw Thee"
251,Cleanliness Is Next To Godliness
252,Company In Distress Makes Trouble Less
253,Confession Is The First Step To Repentance
254,Counsel Is No Command
255,Creditors Have Better Memories Than Debtors
256,Cross The Stream Where It Is Shallowest
257,Crows Do Not Pick Crow's Eyes
258,Curiosity Killed A Cat
259,Curses Like Chickens Come Home To Roost
260,Custom Is A Second Nature
261,Custom Is The Plague Of Wise Men And The Idol Of Fools
262,Cut Your Coat According To Your Cloth
263,Death Is The Grand Leveller
264,Death Pays All Debts
265,Death When It Comes Will Have No Denial
266,Debt Is The Worst Poverty
267,"Deeds, Not Words"
268,Delays Are Dangerous
269,Desperate Diseases Must Have Desperate Remedies
270,Diligence Is The Mother Of Success (Good Luck)
271,Diseases Are The Interests Of Pleasures
272,Divide And Rule
273,Do As You Would Be Done By
274,Dog Does Not Eat Dog
275,Dog Eats Dog
276,Dogs That Put Up Many Hares Kill None
277,Doing Is Better Than Saying
278,Don't Count Your Chickens Before They Are Hatched
279,Don't Cross The Bridges Before You Come To Them
280,Don't Have Thy Cloak To Make When It Begins To Rain
281,Don't Keep A Dog And Bark Yourself
282,Don't Look A Gift Horse In The Mouth
283,Don't Put All Your Eggs In One Basket
284,Don't Sell The Bear's Skin Before You've Caught It
285,Don't Trouble Trouble Until Trouble Troubles You
286,Don't Whistle (Halloo) Until You Are Out Of The Wood
287,Dot Your I's And Cross Your T's
288,Draw Not Your Bow Till Your Arrow Is Fixed
289,Drive The Nail That Will Go
290,Drunken Days Have All Their Tomorrow
291,Drunkenness Reveals What Soberness Conceals
292,Dumb Dogs Are Dangerous
293,Each Bird Loves To Hear Himself Sing
294,"Early To Bed And Early To Rise Makes A Man Healthy, Wealthy And Wise"
295,Easier Said Than Done
296,East Or West ? Home Is Best
297,"Easy Come, Easy Go"
298,"Eat At Pleasure, Drink With Measure"
299,Empty Vessels Make The Greatest (The Most) Sound
300,Enough Is As Good As A Feast
301,Envy Shoots At Others And Wounds Herself
302,Even Reckoning Makes Long Friends
303,Every Ass Loves To Hear Himself Bray
304,Every Barber Knows That
305,Every Bean Has Its Black
306,Every Bird Likes Its Own Nest
307,Every Bullet Has Its Billet
308,Every Country Has Its Customs
309,Every Dark Cloud Has A Silver Lining
310,Every Day Is Not Sunday
311,Every Dog Has His Day
312,Every Dog Is A Lion At Home
313,Every Dog Is Valiant At His Own Door
314,Every Jack Has His Jill
315,Every Man Has A Fool In His Sleeve
316,Every Man Has His Faults
317,Every Man Has His Hobby-Horse
318,Every Man Is The Architect Of His Own Fortunes
319,Every Man To His Taste
320,Every Miller Draws Water To His Own Mill
321,Every Mother Thinks Her Own Gosling A Swan
322,Every One's Faults Are Not Written In Their Foreheads
323,Every Tub Must Stand On Its Own Bottom
324,"Every White Has Its Black, And Every Sweet Its Sour"
325,Every Why Has A Wherefore
326,Everybody's Business Is Nobody's Business
327,Everything Comes To Him Who Waits
328,Everything Is Good In Its Season
329,Evil Communications Corrupt Good Manners
330,Experience Is The Mother Of Wisdom
331,"Experience Keeps A Dear School, But Fools Learn In No Other"
332,"Experience Keeps No School, She Teaches Her Pupils Singly"
333,Extremes Meet
334,Facts Are Stubborn Things
335,Faint Heart Never Won Fair Lady
336,"Fair Without, Foul (False) Within"
337,Fair Words Break No Bones
338,False Friends Are Worse Than Open Enemies
339,Familiarity Breeds Contempt
340,"Far From Eye, Far From Heart"
341,Fasting Comes After Feasting
342,Faults Are Thick Where Love Is Thin
343,Feast Today And Fast Tomorrow
344,Fine Feathers Make Fine Birds
345,Fine Words Butter No Parsnips
346,First Catch Your Hare
347,"First Come, First Served"
348,First Deserve And Then Desire
349,"First Think, Then Speak"
350,Fish And Company Stink In Three Days
351,Fish Begins To Stink At The Head
352,Follow The River And You'll Get To The Sea
353,Fool's Haste Is No Speed
354,Fools And Madmen Speak The Truth
355,Fools Grow Without Watering
356,Fools May Sometimes Speak To The Purpose
357,Fools Never Know When They Are Well
358,Fools Rush In Where Angels Fear To Tread
359,For The Love Of The Game
360,Forbearance Is No Acquittance
361,Forbidden Fruit Is Sweet
362,Forewarned Is Forearmed
363,Fortune Favours The Brave (The Bold)
364,"Fortune Is Easily Found, But Hard To Be Kept"
365,Four Eyes See More (Better) Than Two
366,Friends Are Thieves Of Time
367,From Bad To Worse
368,From Pillar To Post
369,Gentility Without Ability Is Worse Than Plain Beggary
370,"Get A Name To Rise Early, And You May Lie All Day"
371,Gifts From Enemies Are Dangerous
372,"Give A Fool Rope Enough, And He Will Hang Himself"
373,"Give Every Man Thy Ear, But Few Thy Voice"
374,Give Him An Inch And He'll Take An Ell
375,Give Never The Wolf The Wether To Keep
376,Gluttony Kills More Men Than The Sword
377,Go To Bed With The Lamb And Rise With The Lark
378,Good Clothes Open All Doors
379,Good Counsel Does No Harm
380,Good Health Is Above Wealth
381,Good Masters Make Good Servants
382,Good Words And No Deeds
383,Good Words Without Deeds Are Rushes And Reeds
384,Gossiping And Lying Go Hand In Hand
385,"Grasp All, Lose All"
386,Great Barkers Are No Biters
387,"Great Boast, Small Roast"
388,Great Cry And Little Wool
389,Great Spenders Are Bad Lenders
390,Great Talkers Are Great Liars
391,Great Talkers Are Little Doers
392,Greedy Folk Have Long Arms
393,Habit Cures Habit
394,Half A Loaf Is Better Than No Bread
395,"""Hamlet"" Without The Prince Of Denmark "
396,Handsome Is That Handsome Does
397,Happiness Takes No Account Of Time
398,Happy Is He That Is Happy In His Children
399,Hard Words Break No Bones
400,Hares May Pull Dead Lions By The Beard
401,"Harm Watch, Harm Catch"
402,Haste Makes Waste
403,Hasty Climbers Have Sudden Falls
404,Hate Not At The First Harm
405,"Hatred Is Blind, As Well As Love"
406,Hawks Will Not Pick Hawks' Eyes
407,He Begins To Die That Quits His Desires
408,He Cannot Speak Well That Cannot Hold His Tongue
409,He Carries Fire In One Hand And Water In The Other
410,He Dances Well To Whom Fortune Pipes
411,He Gives Twice Who Gives In A Trice
412,He Goes Long Barefoot That Waits For Dead Man's Shoes
413,He Is A Fool That Forgets Himself
414,He Is A Good Friend That Speaks Well Of Us Behind Our Backs
415,He Is Happy That Thinks Himself So
416,He Is Lifeless That Is Faultless
417,He Is Not Fit To Command Others That Cannot Command Himself
418,He Is Not Laughed At That Laughs At Himself First
419,"He Is Not Poor That Has Little, But He That Desires Much"
420,He Jests At Scars That Never Felt A Wound
421,He Knows Best What Good Is That Has Endured Evil
422,He Knows How Many Beans Make Five
423,He Knows Much Who Knows How To Hold His Tongue
424,He Laughs Best Who Laughs Last
425,He Lives Long That Lives Well
426,He Must Needs Swim That Is Held Up By The Chin
427,He Should Have A Long Spoon That Sups With The Devil
428,He Smells Best That Smells Of Nothing
429,He That Comes First To The Hill May Sit Where He Will
430,He That Commits A Fault Thinks Everyone Speaks Of It
431,He That Does You An I!I Turn Will Never Forgive You
432,He That Fears Every Bush Must Never Go A-Birding
433,He That Fears You Present Wiil Hate You Absent
434,"He That Goes A Borrowing, Goes A Sorrowing"
435,He That Goes Barefoot Must Not Plant Thorns
436,He That Has A Full Purse Never Wanted A Friend
437,He That Has A Great Nose Thinks Everybody Is Speaking Of It
438,He That Has An Ill Name Is Half Hanged
439,He That Has No Children Knows Not What Love Is
440,He That Has He Head Needs No Hat
441,He That Has No Money Needs No Purse
442,He That Is Born To Be Hanged Shall Never Be Drowned
443,He That Is Full Of Himself Is Very Empty
444,He That Is Ill To Himself Will Be Good To Nobody
445,He That Is Warm Thinks All So
446,He That Knows Nothing Doubts Nothing
447,He That Lies Down With Dogs Must Rise Up With Fleas
448,He That Lives With Cripples Learns To Limp
449,"He That Mischief Hatches, Mischief Catches"
450,He That Never Climbed Never Fell
451,He That Once Deceives Is Ever Suspected
452,He That Promises Too Much Means Nothing
453,He That Respects Not Is Not Respected
454,He That Seeks Trouble Never Misses
455,He That Serves Everybody Is Paid By Nobody
456,He That Serves God For Money Will Serve The Devil For Better Wages
457,He That Spares The Bad Injures The Good
458,He That Talks Much Errs Much
459,He That Talks Much Lies Much
460,He That Will Eat The Kernel Must Crack The Nut
461,"He That Will Not When He May, When He Will He Shall Have Nay"
462,He That Will Steal An Egg Will Steal An Ox
463,"He That Will Thrive, Must Rise At Five"
464,He That Would Eat The Fruit Must Climb The Tree
465,He That Would Have Eggs Must Endure The Cackling Of Hens
466,He Who Is Born A Fool Is Never Cured
467,He Who Hesitates Is Lost
468,He Who Likes Borrowing Dislikes Paying
469,"He Who Makes No Mistakes, Makes Nothing"
470,He Who Pleased Everybody Died Before He Was Born
471,"He Who Says What He Likes, Shall Hear What He Doesn't Like"
472,He Who Would Catch Fish Must Not Mind Getting Wet
473,He Who Would Eat The Nut Must First Crack The Shell
474,He Who Would Search For Pearls Must Dive Below
475,He Will Never Set The Thames On Fire
476,He Works Best Who Knows His Trade
477,Head Cook And Bottle-Washer
478,Health Is Not Valued Till Sickness Comes
479,His Money Burns A Hole In His Pocket
480,Honesty Is The Best Policy
481,Honey Is Not For The Ass's Mouth
482,"Honey Is Sweet, But The Bee Stings"
483,Honour And Profit Lie Not In One Sack
484,Honours Change Manners
485,"Hope Is A Good Breakfast, But A Bad Supper"
486,Hope Is The Poor Man's Bread
487,Hunger Breaks Stone Walls
488,Hunger Finds No Fault With Cookery
489,Hunger Is The Best Sauce
490,Hungry Bellies Have No Ears
491,Idle Folks Lack No Excuses
492,Idleness Is The Mother Of All Evil
493,Idleness Rusts The Mind
494,"If An Ass (Donkey) Bray At You, Don't Bray At Him"
495,If Ifs And Ans Were Pots And Pans..
496,"If My Aunt Had Been A Man, She'd Have Been My Uncle"
497,"If The Blind Lead The Blind, Both Shall Fall Into The Ditch"
